id,developer
1000912,"U.S. Billiards, Inc."
1000913,Activision
1000914,Irem Corporation
1000915,Centuri
1000915,Olympia
1000916,Sierra On-Line
1000917,Adventure International
1000918,Zaccaria
1000919,Tandy Corporation
1000920,HAL Laboratory
1000920,Commodore Electronics Ltd.
1000921,CE Software
1000922,Cinematronics
1000923,Digital Fantasia
1000924,"Microcomputer Games, Inc."
1000924,The Avalon Hill Game Company
1000925,Acetronic
1000925,Philips Semiconductors
1000926,Sinclair Research
1000927,Apollo Software
1000928,Brøderbund Software
1000929,"Synergistic Software, Inc."
1000930,Digiplay
1000930,APh Technological Consulting
1000932,Namco
1000932,Dempa Shimbunsha
1000933,Sirius Software
1000934,Tactical Design Group
1000934,"SSI (Strategic Simulations, Inc.)"
1000935,Atari
1000935,Sears
1000936,Sentient Software Inc.
1000936,Brøderbund Software
1000937,Nintendo
1000938,Atari
1000939,"Automated Simulations, Inc."
1000940,Shockwave
1000940,Vid Kidz
1000941,Kiya Overseas Industry
1000941,"Microcomputer Games, Inc."
1000942,Cresta
1000942,Halion
